b,g,r
95.64603424072266,113.89979553222656,145.5391845703125
95.68145751953125,113.92052459716797,145.55581665039062
95.68291473388672,113.92449188232422,145.56394958496094
95.80847930908203,114.0408706665039,145.6864013671875
95.88114166259766,114.13701629638672,145.77084350585938
95.92364501953125,114.19839477539062,145.82424926757812
95.90489196777344,114.15098571777344,145.80874633789062
95.94092559814453,114.1837387084961,145.85284423828125
95.96208953857422,114.20199584960938,145.85971069335938
95.90704345703125,114.16653442382812,145.8131103515625
95.87857818603516,114.16395568847656,145.80850219726562
95.94633483886719,114.25129699707031,145.9087677001953
95.93804168701172,114.23846435546875,145.89476013183594
95.9609146118164,114.25564575195312,145.90748596191406
95.90262603759766,114.21903228759766,145.83192443847656
95.9383316040039,114.25323486328125,145.86183166503906
95.8948745727539,114.22270202636719,145.82888793945312
95.94456481933594,114.27739715576172,145.89678955078125
95.90599822998047,114.2319564819336,145.91307067871094
95.93900299072266,114.26128387451172,145.9010772705078
95.98138427734375,114.29177856445312,145.9335479736328
95.99555206298828,114.29120635986328,145.94302368164062
97.3940200805664,115.68379211425781,147.36737060546875
97.7294921875,115.98652648925781,147.70053100585938
97.83989715576172,116.05535888671875,147.79135131835938
97.9909439086914,116.22006225585938,147.92874145507812
98.25942993164062,116.4565658569336,148.1434326171875
98.36653137207031,116.64907836914062,148.30270385742188
98.3977279663086,116.68400573730469,148.3400421142578
98.46173858642578,116.77912139892578,148.3948974609375
98.47172546386719,116.77195739746094,148.42503356933594
98.5057601928711,116.80863189697266,148.46087646484375
97.68801879882812,116.04258728027344,147.67440795898438
97.42755126953125,115.81121063232422,147.42916870117188
97.31082153320312,115.65303039550781,147.30751037597656
97.27615356445312,115.62041473388672,147.2405548095703
97.26315307617188,115.59396362304688,147.21109008789062
97.17503356933594,115.54463195800781,147.12518310546875
97.15612030029297,115.51101684570312,147.08958435058594
97.0901870727539,115.44970703125,147.01785278320312
97.15425109863281,115.50750732421875,147.09173583984375
97.11265563964844,115.46197509765625,147.055419921875
97.09611511230469,115.42706298828125,147.0491485595703
97.00066375732422,115.33922576904297,146.9535675048828
97.00812530517578,115.34590911865234,146.9568634033203
97.01714324951172,115.36434173583984,146.96986389160156
97.19978332519531,114.85419464111328,146.45785522460938
97.0551528930664,114.9442138671875,146.3294677734375
97.1373062133789,114.99983215332031,146.42059326171875
97.07073211669922,114.92887115478516,146.31292724609375
97.10034942626953,114.95458984375,146.3413848876953
97.09339904785156,115.12229919433594,146.4903564453125
96.91449737548828,115.05096435546875,146.4016876220703
96.87655639648438,115.01106262207031,146.34317016601562
96.74549102783203,114.93711853027344,146.2887420654297
96.68294525146484,114.92831420898438,146.26559448242188
96.61834716796875,114.90557861328125,146.17970275878906
96.6592788696289,114.95575714111328,146.23843383789062
96.52450561523438,114.89213562011719,146.1647491455078
96.56474304199219,114.90849304199219,146.18316650390625
96.51255798339844,114.83753204345703,146.1125946044922
96.35284423828125,114.65275573730469,146.01654052734375
96.25543975830078,114.65876770019531,145.991455078125
96.33130645751953,114.70995330810547,146.07810974121094
96.2634048461914,114.63745880126953,146.01434326171875
96.20374298095703,114.55440521240234,145.94564819335938
96.11422729492188,114.48513793945312,145.83485412597656
96.27384948730469,114.47667694091797,145.97531127929688
96.48424530029297,114.63716888427734,146.15260314941406
96.38710021972656,114.54304504394531,146.06381225585938
96.5767822265625,114.66580200195312,146.18032836914062
96.49717712402344,114.6197509765625,146.1621856689453
96.50914764404297,114.6305160522461,146.1722869873047
96.53594970703125,114.68828582763672,146.17022705078125
96.6396255493164,114.78685760498047,146.24217224121094
96.82111358642578,114.96060180664062,146.4119110107422
96.76708221435547,114.95015716552734,146.38778686523438
96.87736511230469,115.04684448242188,146.5037078857422
97.01416778564453,115.15865325927734,146.62152099609375
97.1161117553711,115.241455078125,146.70152282714844
97.2337417602539,115.33686065673828,146.7890625
97.31342315673828,115.38138580322266,146.857666015625
97.39006042480469,115.4587631225586,146.94264221191406
97.56122589111328,115.61434173583984,147.14276123046875
97.27195739746094,115.3918685913086,146.88819885253906
97.28330993652344,115.38337707519531,146.8971405029297
97.34137725830078,115.4574966430664,146.97222900390625
97.2242202758789,115.39534759521484,146.79196166992188
97.2307357788086,115.40625762939453,146.80117797851562
97.22927856445312,115.3729248046875,146.79241943359375
97.25151062011719,115.37632751464844,146.79620361328125
97.27106475830078,115.42771911621094,146.8275146484375
97.39543151855469,115.54857635498047,146.93057250976562
97.40962219238281,115.53485107421875,146.92779541015625
97.37776947021484,115.490234375,146.88815307617188
97.30484008789062,115.40841674804688,146.80548095703125
97.33222198486328,115.43003845214844,146.8332977294922
97.27783966064453,115.38910675048828,146.80528259277344
97.31072235107422,115.42082977294922,146.84027099609375
97.2474594116211,115.38872528076172,146.7549591064453
97.18435668945312,115.33157348632812,146.7042694091797
97.20053100585938,115.35946655273438,146.7296600341797
97.23081970214844,115.38743591308594,146.7616729736328
97.25426483154297,115.40970611572266,146.78488159179688
97.30754089355469,115.46141815185547,146.82965087890625
97.29271697998047,115.45286560058594,146.8217315673828
97.28277587890625,115.4427719116211,146.80032348632812
97.24332427978516,115.402587890625,146.76112365722656
97.24507141113281,115.40645599365234,146.761962890625
97.26671600341797,115.4409408569336,146.78915405273438
97.39419555664062,115.54534912109375,146.8953857421875
97.30545806884766,115.48560333251953,146.82467651367188
97.29695129394531,115.46786499023438,146.8087921142578
97.30428314208984,115.44026184082031,146.78543090820312
97.35850524902344,115.46997833251953,146.81466674804688
97.2900161743164,115.37754821777344,146.74024963378906
97.23661804199219,115.3346939086914,146.7066192626953
97.13811492919922,115.24170684814453,146.6084747314453
97.19805908203125,115.30029296875,146.70611572265625
97.36331939697266,115.43508911132812,146.8605194091797
97.4097900390625,115.479248046875,146.9119873046875
97.3501205444336,115.41175079345703,146.85098266601562
97.28297424316406,115.3371353149414,146.76605224609375
97.22998809814453,115.29319763183594,146.70892333984375
97.16694641113281,115.198974609375,146.62481689453125
97.30023193359375,115.34517669677734,146.73924255371094
97.20494842529297,115.24901580810547,146.64730834960938
97.25869750976562,115.29885864257812,146.74827575683594
97.3772201538086,115.37875366210938,146.83590698242188
97.47725677490234,115.38343048095703,146.89610290527344
97.62625122070312,115.45054626464844,146.98355102539062
97.94525146484375,115.7073974609375,147.27239990234375
97.93330383300781,115.61371612548828,147.15444946289062
98.07477569580078,115.69930267333984,147.26358032226562
98.32522583007812,115.8930892944336,147.4290313720703
98.4298324584961,116.13420104980469,147.634765625
98.16728973388672,115.97362518310547,147.46142578125
98.19877624511719,116.03679656982422,147.51739501953125
98.39892578125,116.29116821289062,147.75733947753906
98.36329650878906,116.24324035644531,147.71934509277344
98.17102813720703,116.08792877197266,147.54234313964844
98.07996368408203,115.94540405273438,147.41122436523438
98.08038330078125,115.78177642822266,147.2626953125
97.97615814208984,115.54961395263672,147.03382873535156
97.82982635498047,115.34257507324219,146.83326721191406
97.979248046875,115.43159484863281,146.9315948486328
98.22294616699219,115.6312255859375,147.12498474121094
98.01923370361328,115.40457153320312,146.98751831054688
97.94937896728516,115.49683380126953,147.02882385253906
97.85476684570312,115.4235610961914,146.98904418945312
97.94529724121094,115.44054412841797,147.00656127929688
97.97511291503906,115.34086608886719,146.948974609375
98.07543182373047,115.37577056884766,147.11434936523438
98.19048309326172,115.5293960571289,147.23605346679688
98.3737564086914,115.72557067871094,147.42979431152344
98.55781555175781,115.95500946044922,147.60508728027344
98.65541076660156,116.03204345703125,147.7328338623047
98.67599487304688,116.05248260498047,147.73391723632812
98.11609649658203,115.3362045288086,147.03598022460938
98.07060241699219,115.27893829345703,146.96209716796875
97.92670440673828,115.156005859375,146.84317016601562
